City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Matara,5.9485,80.5353,83.25,73,41,7.16,LK,1618799890
Hithadhoo,-0.6,73.0833,82.62,66,87,6.33,MV,1618800405
Morón,-34.6534,-58.6198,69.01,98,88,3,AR,1618800405
Kavaratti,10.5669,72.642,83.77,71,18,7.05,IN,1618799847
Vestmannaeyjar,63.4427,-20.2734,39.02,60,98,17.94,IS,1618799902
Klaksvík,62.2266,-6.589,42.8,100,75,9.22,FO,1618799888
Marzuq,14.4,46.4667,68.32,54,100,2.01,YE,1618799943
Saint Paul Harbor,57.79,-152.4072,50,62,40,11.5,US,1618800406
Castro,-24.7911,-50.0119,55.31,98,22,5.77,BR,1618800407
Provideniya,64.3833,-173.3,32,69,0,5.01,RU,1618800407
Yumen,40.2833,97.2,58.14,26,61,15.84,CN,1618799818
Vila Velha,-20.3297,-40.2925,77,83,40,9.22,BR,1618799868
Ponta Delgada,37.7333,-25.6667,59,88,20,6.91,PT,1618799981
Saint George,37.1041,-113.5841,71.6,9,1,4.61,US,1618799820
Avarua,-21.2078,-159.775,82.4,78,75,17.27,CK,1618800408
Dodge City,37.7528,-100.0171,51.8,40,1,4.72,US,1618800377
Chui,-33.6971,-53.4616,62.19,76,19,7.61,UY,1618800409
Cody,44.5263,-109.0565,46.4,53,90,19.57,US,1618799942
Sainte-Marie,-20.8968,55.5496,77,73,90,6.91,RE,1618800410
Sabang,5.8933,95.3214,83.37,71,100,15.03,ID,1618799988
Thompson,55.7435,-97.8558,26.6,54,75,11.5,CA,1618800312
Hasaki,35.7333,140.8333,68,29,0,18.41,JP,1618800410
Dikson,73.5069,80.5464,-1.97,99,100,8.55,RU,1618800411
Kuril'sk,45.2333,147.8833,37.44,95,97,14.56,RU,1618800411
Loukhi,66.0764,33.0381,32.07,87,36,5.88,RU,1618800412
Neuquén,-38.9516,-68.0591,66.2,82,0,2.3,AR,1618800412
Ocós,14.5094,-92.1933,82.4,83,40,7.29,GT,1618800412
New Norfolk,-42.7826,147.0587,66,67,100,13,AU,1618800413
Grindavik,63.8424,-22.4338,32,86,75,5.75,IS,1618800413
Evensk,61.95,159.2333,32.67,98,100,1.79,RU,1618800414
Sistranda,63.7256,8.834,41,87,0,9.22,NO,1618800414
Igrim,63.1906,64.4162,15.19,70,25,2.82,RU,1618799944
Lebu,-37.6167,-73.65,55.44,88,59,10.56,CL,1618800415
Slavonice,48.9975,15.3515,39,94,100,1.95,CZ,1618800415
Ulladulla,-35.35,150.4667,69.8,40,0,9.22,AU,1618799908
Keti Bandar,24.1447,67.4497,82.27,64,98,12.91,PK,1618800416
Terrace,54.5163,-128.6035,62.6,19,1,11.5,CA,1618800311
Ostrovnoy,68.0531,39.5131,29.82,83,100,19.15,RU,1618800416
Necochea,-38.5473,-58.7368,64.65,87,76,12.75,AR,1618799986
Ālampur,15.8833,78.15,88.39,49,41,8.39,IN,1618800417
Kailua,21.4022,-157.7394,82.4,65,75,12.66,US,1618800417
Brae,60.3964,-1.353,44.6,87,100,11.5,GB,1618800418
Maun,-19.9833,23.4167,57.2,67,0,5.75,BW,1618800418
Den Helder,52.9599,4.7593,43,93,1,6.91,NL,1618800418
Kruisfontein,-34.0033,24.7314,68,65,37,8.99,ZA,1618800419
Sørland,67.667,12.6934,43.75,78,0,22.73,NO,1618800419
Saint Anthony,45.0205,-93.218,45,65,90,11.5,US,1618799829
Geilo,60.5333,8.2076,26.01,81,12,5.93,NO,1618800420
Ancud,-41.8697,-73.8203,57.2,100,90,14.97,CL,1618800249
Sheridan,44.8333,-106.9173,39.2,87,90,12.66,US,1618800375
Zamora,-4.0692,-78.9567,67.62,97,97,1.68,EC,1618800125
Altay,47.8667,88.1167,51.78,44,82,4.36,CN,1618799934
Shihezi,44.3,86.0333,66.88,29,85,8.25,CN,1618800421
Fortuna,40.5982,-124.1573,51.01,100,1,9.22,US,1618800306
Zhuanghe,39.7008,122.9911,65.84,38,13,16.37,CN,1618800422
Bakhmach,51.1808,32.7569,36.34,94,6,5.1,UA,1618800422
Vredendal,-31.6683,18.5012,63.01,67,8,2.33,ZA,1618800423
Pisco,-13.7,-76.2167,66.2,82,0,3.44,PE,1618799919
Naze,28.3667,129.4833,71.6,49,20,16.11,JP,1618799828
Sarkand,45.41,79.9186,59.38,43,100,5.26,KZ,1618800424
Kaitangata,-46.2817,169.8464,64.62,52,24,9.89,NZ,1618800424
Unecha,52.8459,32.6739,36.34,96,16,7.23,RU,1618800424
Orange,33.7,-117.7675,77,23,1,9.22,US,1618800425
Huambo,-12.7761,15.7392,57.43,91,99,1.1,AO,1618800425
Carleton Place,45.1334,-76.1494,46.99,91,98,4.25,CA,1618800201
Clyde River,70.4692,-68.5914,-0.4,85,75,12.66,CA,1618799890
Forsytheganj,52.6333,29.7333,42.78,91,94,7.02,BY,1618800426
Sosnovo-Ozerskoye,52.5249,111.5418,33.28,21,100,5.32,RU,1618800427
Poltavka,54.3663,71.7632,21.51,42,7,14,RU,1618800427
Taksimo,56.3444,114.8794,23.02,58,44,0.81,RU,1618800428
Sanctorum,19.1,-98.25,69.8,19,1,14.97,MX,1618800428
Denpasar,-8.65,115.2167,86,70,40,9.22,ID,1618800428
Manggar,-2.8833,108.2667,85.71,61,92,7.36,ID,1618800429
Pevek,69.7008,170.3133,30.85,71,99,16.58,RU,1618800429
Kununurra,-15.7667,128.7333,86,26,8,11.5,AU,1618799911
Malye Derbety,47.9547,44.6808,51.93,88,95,4.34,RU,1618800430
City of San Pedro,14.35,121.0167,91.99,51,75,6.91,PH,1618800430
Kikuyu,-1.2458,36.6633,60.8,94,75,4.59,KE,1618800431
Kaeo,-35.1,173.7833,65.21,52,68,5.88,NZ,1618800431
Ayan,56.45,138.1667,31.21,97,100,13.04,RU,1618800432
Bud,39.447,-86.1758,52,72,98,1.61,US,1618800432
Erzin,36.9559,36.2,72,60,100,15.01,TR,1618800432
Bethel,41.3712,-73.414,53.6,54,90,4.61,US,1618800328
Ferme-Neuve,46.7001,-75.4493,44.6,81,99,1.14,CA,1618800433
Sisimiut,66.9395,-53.6735,16.99,67,100,15.66,GL,1618800434
San Cristobal,7.7669,-72.225,84.2,54,40,13.8,VE,1618800434
Tomatlán,19.9333,-105.25,66.63,81,1,1.68,MX,1618800435
Prokuplje,43.2342,21.5881,39.2,87,0,3.44,RS,1618800436
Kuala Terengganu,5.3302,103.1408,86,74,20,5.75,MY,1618800436
Kaniama,-7.5667,24.1833,63.68,92,87,5.64,CD,1618800436
Ahipara,-35.1667,173.1667,65.53,53,92,6.13,NZ,1618800437
Panguipulli,-39.6333,-72.3333,59,100,75,3.44,CL,1618800437
Kedgwick,47.6446,-67.3434,31.42,91,26,3.69,CA,1618800438
Lac-Mégantic,45.5834,-70.8823,39.2,81,1,2.3,CA,1618800438
Bilibino,68.0546,166.4372,28.29,82,100,20.56,RU,1618800439
Honiara,-9.4333,159.95,84.49,78,87,5.08,SB,1618800183
Mehamn,71.0357,27.8492,37.4,60,0,14.97,NO,1618800439
Cherskiy,68.75,161.3,22.41,80,57,15.9,RU,1618800440
Mayo,38.8876,-76.5119,54,94,96,4.63,US,1618800440
Mogok,22.9167,96.5,78.58,39,68,3.96,MM,1618800441
Santa Fe,-31.6333,-60.7,71.01,78,0,5.01,AR,1618800150
Lucapa,-8.4192,20.7447,65.97,91,99,3.8,AO,1618800441
Nyurba,63.2842,118.3319,19.94,72,100,6.29,RU,1618800442
Rabo de Peixe,37.8,-25.5833,57.2,88,20,5.75,PT,1618800442
Ponta do Sol,32.6667,-17.1,60.8,67,20,2.3,PT,1618800442
Malé,4.1748,73.5089,84.2,74,20,8.05,MV,1618800443
Airai,-8.9266,125.4092,73.36,42,56,2.98,TL,1618800443
Gravdal,68.1214,13.5031,42.55,78,0,19.71,NO,1618800444
Port Elizabeth,-33.918,25.5701,66.2,59,0,24.16,ZA,1618800444
Camopi,3.1655,-52.3158,71.04,99,94,1.86,GF,1618800444
Aksu,41.1231,80.2644,66.24,29,98,6.06,CN,1618800445
Eureka,40.8021,-124.1637,50,86,72,1.99,US,1618799828
Mujiayingzi,42.1167,118.7833,68.85,11,93,10.04,CN,1618800445
Bitung,1.4451,125.1824,87.8,62,20,3.44,ID,1618800446
Fort Nelson,58.8053,-122.7002,51.8,28,1,2.3,CA,1618799904
Tasiilaq,65.6145,-37.6368,15.8,67,0,4.61,GL,1618800446
Macusani,-14.0833,-70.4333,33.85,76,3,0.81,PE,1618800447
Kristinestad,62.2743,21.376,41.58,73,100,4.72,FI,1618800447
Puerto Quijarro,-17.7833,-57.7667,79.88,61,60,1.07,BO,1618800448
Bimbo,4.2567,18.4158,71.6,85,100,4.16,CF,1618800448
Aklavik,68.2191,-135.0107,46.4,42,59,6.91,CA,1618799883
Boguchany,58.3814,97.4531,36.55,67,95,12.53,RU,1618800449
Shingū,33.7333,135.9833,62.6,45,20,16.11,JP,1618799923
Manzanillo,20.3433,-77.1167,78.22,61,100,4.14,CU,1618800449
Bengkulu,-3.8004,102.2655,82.74,67,25,3.69,ID,1618800450
Port Hardy,50.6996,-127.4199,64.4,45,20,3.44,CA,1618799969
Neyshabur,36.2133,58.7958,64.02,30,88,2.33,IR,1618800450
Kudahuvadhoo,2.6708,72.8944,82.76,64,24,7.76,MV,1618800450
Karratha,-20.7377,116.8463,86,47,0,3.31,AU,1618799901
Samarai,-10.6167,150.6667,84.07,74,59,12.08,PG,1618799996
Varkaus,62.3153,27.873,26.6,93,0,3.44,FI,1618800451
Daru,-9.0763,143.2092,83.28,72,100,8.14,PG,1618800452
Hilo,19.7297,-155.09,78.8,65,75,11.5,US,1618800417
Mahajanga,-15.7167,46.3167,73.4,73,20,5.75,MG,1618800452
Seoul,37.5683,126.9778,62.6,44,0,10.36,KR,1618800453
Katsuura,35.1333,140.3,66.2,36,0,14.97,JP,1618799882
Oktyabr'skiy,54.4815,53.471,37.51,55,97,15.19,RU,1618800453
Griffith,41.5284,-87.4237,54,53,75,4.61,US,1618799993
Mount Gambier,-37.8333,140.7667,62.6,67,75,20.71,AU,1618800454
Meghri,38.9029,46.2446,63.34,62,92,3.15,AM,1618800454
Jiuquan,39.7432,98.5174,59.25,23,92,10.11,CN,1618800455
Manali,13.1667,80.2667,84.2,74,20,6.91,IN,1618800455
Okhotsk,59.3833,143.3,32.85,99,100,8.5,RU,1618800456
Codrington,-38.2667,141.9667,65.73,54,99,15.23,AU,1618800457
Srednekolymsk,67.45,153.6833,27.61,76,29,5.32,RU,1618800457
Pahrump,36.2083,-115.9839,69.01,4,0,1.01,US,1618800457
Cidreira,-30.1811,-50.2056,69.71,72,15,9.69,BR,1618800458
Kjøllefjord,70.9457,27.3465,37.4,60,0,14.97,NO,1618800458
Taoudenni,22.6783,-3.9836,77.59,13,0,14.27,ML,1618800459
Norman Wells,65.282,-126.8329,44.6,49,1,10.36,CA,1618800459
Tiksi,71.6872,128.8694,12.16,81,94,11.65,RU,1618800460
Gallup,35.5281,-108.7426,48.2,29,1,5.75,US,1618800460
Pamekasan,-7.1568,113.4746,84.09,64,19,2.95,ID,1618800461
Puerto Madryn,-42.7692,-65.0385,66.87,47,41,13.98,AR,1618800461
Pacific Grove,36.6177,-121.9166,53.01,92,0,4,US,1618800461
Lompoc,34.6391,-120.4579,51.8,87,0,10.36,US,1618800462
Littleton,39.6133,-105.0166,51.01,31,40,3.44,US,1618800220
Hamilton,39.1834,-84.5333,51.01,66,75,0.6,US,1618800165
Whitecourt,54.1502,-115.6855,39.2,41,75,12.66,CA,1618800463
Korgen,66.0771,13.8153,36,78,2,5.08,NO,1618800463
Cairns,-16.9167,145.7667,75.2,94,90,9.22,AU,1618800463
Kirakira,-10.4544,161.9205,85.33,70,100,7.09,SB,1618800464
Fürstenfeld,47.05,16.0833,41,79,100,3.22,AT,1618800464
Taseyevo,57.2169,94.8978,33.57,96,100,11.52,RU,1618800464
Merauke,-8.4667,140.3333,84.65,69,42,9.66,ID,1618800465
Cham,47.1821,8.4636,39.99,87,90,1.7,CH,1618800465
Batagay,67.6333,134.6333,21.69,75,100,3.76,RU,1618800466
Mayumba,-3.432,10.6554,77.67,90,100,5.86,GA,1618799913
Shamkhal,43.0596,47.3373,53.6,87,100,8.95,RU,1618800466
Poum,-20.2333,164.0167,79.02,75,100,4.41,NC,1618800467
Kalmunai,7.4167,81.8167,83.41,71,95,5.95,LK,1618800467
Micheweni,-4.9667,39.8333,75.52,94,100,8.05,TZ,1618800468
Paphos,34.7667,32.4167,66.99,59,100,3.44,CY,1618800468
Labuhan,-6.8844,112.2051,83.46,68,66,3.24,ID,1618800469
Alofi,-19.0595,-169.9187,84.2,54,12,12.66,NU,1618800469
Lebanon,36.2081,-86.2911,55.4,71,90,6.91,US,1618800195
Magomeni,-6.8,39.25,73.42,73,55,11.54,TZ,1618800469
Severo-Kuril'sk,50.6789,156.125,35.19,97,100,29.19,RU,1618800470
Shubarkuduk,49.1447,56.4872,53.83,85,100,4.07,KZ,1618800470
Lovozero,68.005,35.0117,30.34,93,89,4.99,RU,1618800471
Barrow,71.2906,-156.7887,28.4,74,1,9.22,US,1618800471
Berlevåg,70.8578,29.0864,37.4,60,0,14.97,NO,1618799924
Souillac,-20.5167,57.5167,78.8,83,75,11.5,MU,1618800472
Pangnirtung,66.1451,-65.7125,3.92,83,64,7.49,CA,1618800472
Khatanga,71.9667,102.5,2.89,90,92,9.17,RU,1618800472
Nanortalik,60.1432,-45.2371,29.64,52,43,6.26,GL,1618800473
Nova Russas,-4.7067,-40.5631,70.29,97,100,3.44,BR,1618800473
Ormara,25.2088,64.6357,81.16,62,100,10.87,PK,1618800474
Mossamedes,-15.1961,12.1522,81.25,67,2,4.43,AO,1618800474
São Filipe,14.8961,-24.4956,73.22,71,39,6.55,CV,1618800474
Carbonia,39.1672,8.5222,43,87,20,3.44,IT,1618800475
Nadym,65.5333,72.5167,2.34,90,31,12.24,RU,1618800294
Shimoda,34.6667,138.95,64.99,48,20,13.8,JP,1618799774
Santa Maria do Suaçuí,-18.1903,-42.4142,66.61,91,82,1.59,BR,1618800476
Melk,48.2274,15.3319,43,93,100,3.31,AT,1618800476
Nishihara,26.1842,127.7558,73.4,46,75,16.11,JP,1618800314
Halifax,44.6453,-63.5724,37.99,87,100,10,CA,1618800259
Pedernales,18.0384,-71.744,78.76,67,39,5.55,DO,1618800477
Pánormos,35.4182,24.6909,64.99,85,100,8.5,GR,1618800000
Timbiquí,2.7717,-77.6654,75.4,93,96,0.81,CO,1618800478
Berezovyy,51.6667,135.7,40.19,78,99,7.29,RU,1618800478
Havre-St-Pierre,50.2334,-63.5986,35.6,87,90,10.33,CA,1618800246
Leningradskiy,69.3833,178.4167,31.71,68,41,10.71,RU,1618800479
Bac Lieu,9.285,105.7244,86.11,62,72,8.23,VN,1618799778
Valentín Gómez Farías,28.2167,-106.5833,63,39,51,1.99,MX,1618800479
Prainha,-1.8,-53.48,71.91,98,100,0.56,BR,1618800480
Mae Sai,20.4335,99.8762,78.8,83,75,1.14,TH,1618800480
Udalguri,26.7667,92.1333,75.69,69,37,7.76,IN,1618800481
Port Blair,11.6667,92.75,85.26,66,15,9.08,IN,1618800481
Saldanha,-33.0117,17.9442,62.6,88,48,6.91,ZA,1618800481
Wakkanai,45.4094,141.6739,39.2,93,75,32.21,JP,1618800256
Meulaboh,4.1363,96.1285,80.46,76,99,1.63,ID,1618800187
Atar,20.5169,-13.0499,76.91,16,37,7.14,MR,1618799910
Villa Rica,33.7321,-84.9191,57.99,77,71,1.01,US,1618800483
Fairbanks,64.8378,-147.7164,57.2,37,1,4.61,US,1618800365
Pemangkat,1.1667,108.9667,84.16,69,70,8.03,ID,1618800484
Ciudad Bolivar,8.1222,-63.5497,80.8,60,89,14.85,VE,1618800484
Sloboda,51.1421,40.3021,44.4,73,99,5.41,RU,1618800484
Torbay,47.6666,-52.7314,36,100,90,8.05,CA,1618800485
Praia,14.9215,-23.5087,69.8,78,20,10.36,CV,1618800485
Elgin,42.0373,-88.2812,53.6,43,75,4.61,US,1618800406
Muisne,0.6,-80.0333,76.03,83,56,0.65,EC,1618800486
Maku,39.2911,44.4521,55,65,77,6.98,IR,1618800486
Coquimbo,-29.9533,-71.3436,57.2,82,90,2.3,CL,1618800487
Palmer,42.1584,-72.3287,51.8,71,90,4.61,US,1618800487
Buin,-33.7333,-70.75,69.01,72,0,4.61,CL,1618800488
Øksfjord,70.2396,22.3479,35.6,74,73,2.3,NO,1618800488
Guerrero Negro,27.9769,-114.0611,60.8,86,0,15.26,MX,1618800374
Yenagoa,4.9247,6.2642,75.18,91,86,2.53,NG,1618799990
Makīnsk,52.6292,70.4169,23.47,47,7,14.32,KZ,1618800489
San Patricio,28.017,-97.5169,64.4,72,90,4.79,US,1618800489
Bayir,37.2687,28.2167,59,67,75,2.3,TR,1618800490
Aureliana,10.8885,121.978,82.62,74,100,12.62,PH,1618800490
Kampot,10.6167,104.1833,84.2,84,40,1.14,KH,1618800490
Rocha,-34.4833,-54.3333,57.51,93,64,5.66,UY,1618800491
Aranjuez,40.0311,-3.6025,51.01,57,0,1.14,ES,1618800491
Kavieng,-2.5744,150.7967,83.77,73,97,8.48,PG,1618800492
São Sebastião,-23.76,-45.4097,70.81,91,84,6.35,BR,1618800492
Vitim,59.4511,112.5578,28.74,78,88,5.41,RU,1618800493
Geraldton,-28.7667,114.6,73.4,38,0,17.27,AU,1618799898
Tegul'det,57.3064,88.1667,17.26,91,100,18.07,RU,1618800493
Maraã,-1.8333,-65.3667,72.93,99,100,0.51,BR,1618800494
Namatanai,-3.6667,152.4333,87.31,63,88,5.93,PG,1618799898
Ribeira Brava,32.65,-17.0667,60.8,67,20,2.3,PT,1618800494
Khor,47.8861,134.9464,53.92,44,93,7.58,RU,1618800495
Waspán,14.7419,-83.9717,76.82,89,46,2.89,NI,1618800495
Agua Prieta,31.3,-109.5667,61,34,83,11.99,MX,1618800276
Tangshan,39.6333,118.1833,76.28,19,10,10.47,CN,1618800496
Shelburne,44.0787,-80.2041,37.99,75,65,5.01,CA,1618800496
Lydenburg,-25.0978,30.4597,46.99,73,5,2.3,ZA,1618800497
Dukat,62.55,155.55,29.95,93,11,5.08,RU,1618800497
Uyuni,-20.4597,-66.825,45.93,24,0,10.6,BO,1618800498
Bartica,6.4,-58.6167,73.4,94,20,4.61,GY,1618800498
Xinxiang,35.3089,113.8672,73.8,32,2,8.79,CN,1618800499
Talnakh,69.4865,88.3972,-1.68,87,60,4.23,RU,1618800499
Poronaysk,49.2167,143.1167,36.23,95,100,8.01,RU,1618800500
Sitka,57.0531,-135.33,66.2,27,1,11.5,US,1618799960
Bontang,0.1333,117.5,81.9,73,100,8.05,ID,1618800500
Constitución,-35.3333,-72.4167,54.63,70,49,4.09,CL,1618800501
Diamantino,-14.4086,-56.4461,74.37,77,72,2.53,BR,1618800501
Ţahţā,26.7693,31.5021,80.6,31,0,5.75,EG,1618800501
Huarmey,-10.0681,-78.1522,68.83,83,89,7.16,PE,1618800502
Ponyri,52.3186,36.3039,41,100,90,7.67,RU,1618800502
Ilulissat,69.2167,-51.1,12.2,57,44,9.22,GL,1618800503
Harper,4.375,-7.7169,80.24,81,100,5.84,LR,1618799939
Tayturka,52.8692,103.4608,44.29,37,71,14.83,RU,1618800503
Northam,51.0333,-4.2167,41,89,74,4.76,GB,1618800504
Nemuro,43.3236,145.575,53.6,50,75,17.27,JP,1618800504
Moroni,-11.7022,43.2551,79.23,82,7,10.11,KM,1618800505
Tura,25.5198,90.2201,77.18,68,0,6.71,IN,1618800505
Khorramshahr,30.4397,48.1664,69.8,43,0,2.3,IR,1618800506
Kanchanaburi,14.6333,99.1,85.91,60,75,3.56,TH,1618800506
Dwārka,22.2394,68.9678,81.59,74,64,10.87,IN,1618799962
Āsosa,10.0667,34.5333,71.04,18,100,1.88,ET,1618800507
Touros,-5.1989,-35.4608,75.2,94,40,4.61,BR,1618800507
Nankana Sahib,31.4475,73.6972,71.6,60,20,4.61,PK,1618800507
Kurmanayevka,52.5093,52.0675,42.84,65,100,16.73,RU,1618800508
Xining,36.6167,101.7667,43.03,74,100,5.1,CN,1618800508
Wanaka,-44.7,169.15,55.36,74,100,8.05,NZ,1618800509
Biak,-0.9131,122.8766,81.32,69,100,4.09,ID,1618800509
Aykhal,66,111.5,8.29,71,66,4,RU,1618800509
Thinadhoo,0.5333,72.9333,82.67,63,68,5.91,MV,1618800510
Pemba,-12.974,40.5178,71.6,88,75,9.22,MZ,1618800510
Ust-Kuyga,70.0167,135.6,15.57,73,47,2.39,RU,1618800511
Kingisepp,59.3733,28.6134,38.98,90,12,5.17,RU,1618800511
Ballina,-28.8667,153.5667,73.4,60,40,10.36,AU,1618799981
Broome,42.2506,-75.833,46.4,61,75,3.44,US,1618800512
Dudinka,69.4058,86.1778,-1.39,94,50,10.85,RU,1618800512
San Quintín,30.4833,-115.95,61.99,69,0,3.62,MX,1618799917
Itarema,-2.9248,-39.9167,76.39,90,98,7.43,BR,1618800513
Tallahassee,30.4383,-84.2807,63,94,40,4.27,US,1618800513
Zhezkazgan,47.8043,67.7144,53.2,71,95,2.24,KZ,1618799919
